ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,Total Credits,CGPA,Supplementary Appearances
22031A0503,6.62,19.5,6.23,19.5,6.71,25.5,6.58,21.5,6.74,21.5,107.5,6.59,**
22031A0504,8.15,19.5,7.69,19.5,8.33,25.5,8.14,21.5,8.37,21.5,107.5,8.15,
22031A0505,7.85,19.5,7.46,19.5,8.22,25.5,7.7,21.5,7.67,21.5,107.5,7.8,
22031A0506,9.08,19.5,9.23,19.5,9.1,25.5,8.88,21.5,7.84,21.5,107.5,8.82,
22031A0507,7.77,19.5,7.85,19.5,7.2,25.5,7.21,21.5,8.02,21.5,107.5,7.59,
22031A0508,6.46,19.5,6.62,19.5,0.0,22.5,7.14,21.5,7.16,21.5,104.5,0.0,*****
22031A0509,7.08,19.5,7.46,19.5,7.82,25.5,7.0,21.5,7.23,21.5,107.5,7.34,*
22031A0510,7.92,19.5,9.08,19.5,8.61,25.5,7.33,21.5,8.3,21.5,107.5,8.25,
22031A0511,0.0,10.5,0.0,16.5,0.0,22.5,0.0,15.5,0.0,18.5,83.5,0.0,***
22031A0512,0.0,13.5,6.31,19.5,0.0,22.5,6.86,21.5,7.09,21.5,98.5,0.0,****
22031A0513,8.38,19.5,8.77,19.5,8.39,25.5,8.42,21.5,8.05,21.5,107.5,8.4,
22031A0514,0.0,13.5,0.0,4.5,0.0,10.5,0.0,6.5,0.0,6.5,41.5,0.0,*********
22031A0515,6.15,19.5,5.92,19.5,6.31,25.5,0.0,15.5,0.0,15.5,95.5,0.0,*******
22031A0516,0.0,13.5,0.0,16.5,0.0,22.5,0.0,18.5,6.74,21.5,92.5,0.0,******
22031A0517,8.08,19.5,8.77,19.5,8.76,25.5,8.88,21.5,8.67,21.5,107.5,8.64,
22031A0518,7.62,19.5,7.0,19.5,7.31,25.5,0.0,18.5,7.67,21.5,104.5,0.0,*
22031A0519,6.46,19.5,6.38,19.5,0.0,22.5,6.56,21.5,0.0,18.5,101.5,0.0,*****
22031A0520,7.46,19.5,,,0.0,10.5,,,,,30.0,0.0,**
22031A0521,7.85,19.5,7.77,19.5,8.55,25.5,7.86,21.5,8.02,21.5,107.5,8.04,
22031A0522,6.69,19.5,6.46,19.5,6.65,25.5,7.05,21.5,6.95,21.5,107.5,6.76,***
22031A0523,6.77,19.5,6.85,19.5,6.86,25.5,6.98,21.5,6.88,21.5,107.5,6.87,****
22031A0524,8.31,19.5,8.38,19.5,7.63,25.5,7.53,21.5,7.53,21.5,107.5,7.85,
22031A0525,7.15,19.5,6.46,19.5,6.57,25.5,0.0,12.5,0.0,12.5,89.5,0.0,****
22031A0526,0.0,16.5,0.0,16.5,6.37,25.5,0.0,9.5,0.0,18.5,86.5,0.0,*****
22031A0527,8.62,19.5,8.92,19.5,9.27,25.5,9.3,21.5,8.53,21.5,107.5,8.95,
22031A0528,7.77,19.5,8.08,19.5,8.02,25.5,8.05,21.5,7.53,21.5,107.5,7.89,
22031A0529,7.85,19.5,7.23,19.5,7.78,25.5,7.77,21.5,7.74,21.5,107.5,7.68,*
22031A0530,7.92,19.5,8.0,19.5,7.96,25.5,7.47,21.5,7.6,21.5,107.5,7.79,
22031A0531,7.46,19.5,7.92,19.5,7.73,25.5,7.21,21.5,7.33,21.5,107.5,7.53,
22031A0532,7.15,19.5,6.77,19.5,7.49,25.5,7.3,21.5,7.56,21.5,107.5,7.27,
22031A0533,0.0,16.5,6.77,19.5,7.73,25.5,7.77,21.5,7.6,21.5,104.5,0.0,****
22031A0534,8.15,19.5,8.23,19.5,7.98,25.5,7.09,21.5,8.09,21.5,107.5,7.9,
22031A0535,8.31,19.5,9.08,19.5,8.51,25.5,8.28,21.5,8.19,21.5,107.5,8.47,
22031A0536,8.54,19.5,9.23,19.5,8.27,25.5,8.74,21.5,8.05,21.5,107.5,8.54,
22031A0537,8.23,19.5,7.62,19.5,8.53,25.5,8.33,21.5,8.3,21.5,107.5,8.22,
22031A0538,7.46,19.5,0.0,16.5,6.8,25.5,0.0,18.5,6.4,21.5,101.5,0.0,*****
22031A0539,8.23,19.5,8.77,19.5,8.45,25.5,8.19,21.5,7.4,21.5,107.5,8.21,
22031A0540,0.0,13.5,0.0,0.0,0.0,22.5,,,,,36.0,0.0,******
22031A0541,7.69,19.5,7.46,19.5,7.84,25.5,7.33,21.5,7.95,21.5,107.5,7.66,*
22031A0542,0.0,13.5,0.0,13.5,7.24,25.5,6.91,21.5,0.0,18.5,92.5,0.0,****
22031A0543,8.15,19.5,7.85,19.5,8.67,25.5,8.23,21.5,8.3,21.5,107.5,8.26,
22031A0544,7.85,19.5,8.54,19.5,8.43,25.5,8.16,21.5,8.09,21.5,107.5,8.22,
22031A0545,7.15,19.5,6.85,19.5,8.14,25.5,7.79,21.5,7.23,21.5,107.5,7.47,*
22031A0546,8.92,19.5,7.54,19.5,8.59,25.5,8.19,21.5,8.26,21.5,107.5,8.31,
22031A0547,9.0,19.5,8.54,19.5,8.67,25.5,8.47,21.5,8.44,21.5,107.5,8.62,
22031A0548,8.69,19.5,9.08,19.5,9.29,25.5,8.74,21.5,8.19,21.5,107.5,8.81,
22031A0549,0.0,16.5,7.0,19.5,0.0,22.5,0.0,18.5,7.09,21.5,98.5,0.0,*****
22031A0550,8.0,19.5,7.46,19.5,8.02,25.5,7.98,21.5,7.58,21.5,107.5,7.82,*
22031A0551,7.69,19.5,7.69,19.5,8.16,25.5,7.28,21.5,7.3,21.5,107.5,7.64,*
22031A0552,7.62,19.5,8.69,19.5,9.16,25.5,8.12,21.5,8.02,21.5,107.5,8.36,
22031A0553,7.46,19.5,0.0,13.5,0.0,22.5,0.0,15.5,6.53,21.5,92.5,0.0,*****
22031A0554,8.15,19.5,7.62,19.5,8.45,25.5,7.84,21.5,7.95,21.5,107.5,8.02,
22031A0555,0.0,16.5,6.54,19.5,0.0,22.5,6.86,21.5,6.98,21.5,101.5,0.0,*****
22031A0556,6.77,19.5,6.38,19.5,6.69,25.5,6.28,21.5,6.74,21.5,107.5,6.58,******
22031A0557,0.0,16.5,6.92,19.5,6.9,25.5,6.77,21.5,0.0,18.5,101.5,0.0,****
22031A0558,0.0,16.5,6.38,19.5,7.31,25.5,7.19,21.5,6.95,21.5,104.5,0.0,****
23035A0101,,,,,7.22,25.5,7.53,21.5,8.09,21.5,68.5,7.59,*
23035A0102,,,,,7.69,25.5,7.28,21.5,7.63,21.5,68.5,7.54,***
23035A0103,,,,,8.78,25.5,8.47,21.5,8.6,21.5,68.5,8.63,
