ID,1-1,Credits_1-1,1-2,Credits_1-2,Total Credits,CGPA,Supplementary Appearances
24031A0201,0.0,16.5,0.0,14.5,31.0,0.0,*
24031A0202,0.0,7.5,0.0,7.0,14.5,0.0,
24031A0203,7.1,19.5,7.2,20.5,40.0,7.15,
24031A0204,0.0,13.5,0.0,5.5,19.0,0.0,*
24031A0205,0.0,16.5,0.0,16.0,32.5,0.0,*
24031A0206,0.0,13.5,0.0,5.5,19.0,0.0,*
24031A0207,6.92,19.5,0.0,17.5,37.0,0.0,
24031A0208,0.0,16.5,0.0,14.5,31.0,0.0,*
24031A0209,6.56,19.5,6.66,20.5,40.0,6.61,
24031A0210,0.0,16.5,0.0,13.0,29.5,0.0,*
24031A0211,0.0,10.5,,,10.5,0.0,
24031A0212,0.0,4.5,,,4.5,0.0,
24031A0213,6.36,19.5,0.0,17.5,37.0,0.0,
24031A0214,0.0,16.5,0.0,10.0,26.5,0.0,*
24031A0215,6.79,19.5,0.0,11.5,31.0,0.0,
24031A0216,6.44,19.5,0.0,17.5,37.0,0.0,
24031A0217,0.0,3.5,,,3.5,0.0,
24031A0218,0.0,16.5,0.0,2.5,19.0,0.0,*
24031A0219,6.46,19.5,0.0,14.5,34.0,0.0,
24031A0220,7.44,19.5,8.34,20.5,40.0,7.9,
24031A0221,0.0,16.5,0.0,11.5,28.0,0.0,*
24031A0222,7.23,19.5,0.0,17.5,37.0,0.0,
24031A0223,7.97,19.5,7.29,20.5,40.0,7.62,
24031A0224,0.0,16.5,6.44,20.5,37.0,0.0,*
24031A0225,0.0,15.5,,,15.5,0.0,
24031A0226,7.9,19.5,7.39,20.5,40.0,7.64,*
24031A0227,0.0,16.5,0.0,11.5,28.0,0.0,
24031A0228,6.41,19.5,0.0,8.5,28.0,0.0,
24031A0229,7.74,19.5,8.07,20.5,40.0,7.91,
24031A0230,7.59,19.5,7.15,20.5,40.0,7.36,
24031A0231,6.95,19.5,7.1,20.5,40.0,7.03,
24031A0232,0.0,16.5,0.0,7.0,23.5,0.0,*
24031A0234,5.9,19.5,0.0,19.0,38.5,0.0,
24031A0235,0.0,16.5,0.0,10.0,26.5,0.0,
24031A0236,7.82,19.5,0.0,17.5,37.0,0.0,
24031A0237,0.0,13.5,0.0,2.5,16.0,0.0,*
24031A0239,6.77,19.5,6.46,20.5,40.0,6.61,
24031A0240,7.54,19.5,8.07,20.5,40.0,7.81,
24031A0241,8.05,19.5,7.68,20.5,40.0,7.86,
24031A0242,0.0,16.5,0.0,11.5,28.0,0.0,*
24031A0243,0.0,16.5,0.0,14.5,31.0,0.0,
24031A0244,0.0,13.5,0.0,5.5,19.0,0.0,*
24031A0245,7.62,19.5,0.0,17.5,37.0,0.0,
24031A0246,0.0,18.0,0.0,2.0,20.0,0.0,
24031A0247,7.18,19.5,7.2,20.5,40.0,7.19,*
24031A0248,0.0,13.5,0.0,13.0,26.5,0.0,*
24031A0249,0.0,10.5,0.0,2.5,13.0,0.0,*
24031A0250,7.95,19.5,7.27,20.5,40.0,7.6,
24031A0251,0.0,14.5,0.0,14.5,29.0,0.0,*
24031A0252,6.82,19.5,0.0,17.5,37.0,0.0,
24031A0254,0.0,10.5,0.0,11.5,22.0,0.0,*
24031A0255,0.0,16.5,0.0,13.0,29.5,0.0,*
24031A0256,6.85,19.5,7.56,20.5,40.0,7.21,
24031A0302,7.07,20.5,6.85,19.5,40.0,6.96,
24031A0303,0.0,8.5,0.0,13.5,22.0,0.0,*
24031A0304,6.93,20.5,0.0,13.5,34.0,0.0,
24031A0305,0.0,17.5,7.82,19.5,37.0,0.0,*
24031A0306,0.0,17.5,0.0,7.5,25.0,0.0,*
24031A0307,6.34,20.5,7.56,19.5,40.0,6.93,
24031A0308,0.0,11.5,0.0,10.5,22.0,0.0,*
24031A0309,0.0,14.5,0.0,10.5,25.0,0.0,*
24031A0310,0.0,14.5,0.0,16.5,31.0,0.0,*
24031A0311,7.9,20.5,0.0,16.5,37.0,0.0,
24031A0312,6.73,20.5,6.77,19.5,40.0,6.75,
24031A0313,0.0,11.5,0.0,7.5,19.0,0.0,*
24031A0314,0.0,14.5,0.0,10.5,25.0,0.0,*
24031A0315,6.34,20.5,6.82,19.5,40.0,6.57,
24031A0316,6.27,20.5,6.82,19.5,40.0,6.54,*
24031A0317,0.0,5.5,0.0,10.5,16.0,0.0,*
24031A0318,0.0,14.5,0.0,10.5,25.0,0.0,
24031A0319,0.0,14.5,0.0,13.5,28.0,0.0,*
24031A0320,0.0,11.5,0.0,13.5,25.0,0.0,*
24031A0321,7.56,20.5,7.87,19.5,40.0,7.71,*
24031A0322,0.0,17.5,0.0,10.5,28.0,0.0,
24031A0323,0.0,8.5,0.0,13.5,22.0,0.0,*
24031A0324,6.39,20.5,0.0,16.5,37.0,0.0,
24031A0325,0.0,17.5,8.08,19.5,37.0,0.0,*
24031A0326,0.0,8.5,,,8.5,0.0,
24031A0327,0.0,11.5,0.0,13.5,25.0,0.0,*
24031A0328,0.0,14.5,,,14.5,0.0,
24031A0329,0.0,5.5,,,5.5,0.0,
24031A0330,7.54,20.5,6.54,19.5,40.0,7.05,*
24031A0331,0.0,14.5,0.0,13.5,28.0,0.0,*
24031A0332,6.07,20.5,6.03,19.5,40.0,6.05,
24031A0334,6.59,20.5,0.0,13.5,34.0,0.0,
24031A0335,5.44,20.5,0.0,5.5,26.0,0.0,
24031A0336,0.0,17.5,0.0,16.5,34.0,0.0,*
24031A0337,0.0,17.5,0.0,16.5,34.0,0.0,*
24031A0338,0.0,17.5,0.0,13.5,31.0,0.0,*
24031A0341,5.88,20.5,0.0,7.5,28.0,0.0,
24031A0342,0.0,14.5,0.0,15.5,30.0,0.0,*
24031A0343,0.0,8.5,0.0,13.5,22.0,0.0,*
24031A0344,0.0,5.5,0.0,10.5,16.0,0.0,*
24031A0345,6.41,20.5,0.0,13.5,34.0,0.0,
24031A0346,7.17,20.5,6.82,19.5,40.0,7.0,
24031A0347,6.1,20.5,0.0,13.5,34.0,0.0,
24031A0401,0.0,14.5,0.0,16.5,31.0,0.0,*
24031A0402,7.39,20.5,0.0,16.5,37.0,0.0,
24031A0403,0.0,17.5,0.0,13.5,31.0,0.0,*
24031A0404,7.02,20.5,7.28,19.5,40.0,7.15,
24031A0405,8.66,20.5,0.0,16.5,37.0,0.0,
24031A0406,0.0,17.5,0.0,16.5,34.0,0.0,*
24031A0407,0.0,17.5,7.13,19.5,37.0,0.0,*
24031A0408,7.41,20.5,7.79,19.5,40.0,7.6,
24031A0409,7.34,20.5,0.0,16.5,37.0,0.0,
24031A0410,7.22,20.5,7.28,19.5,40.0,7.25,*
24031A0411,8.39,20.5,7.95,19.5,40.0,8.18,
24031A0412,8.22,20.5,7.38,19.5,40.0,7.81,
24031A0413,7.93,20.5,7.54,19.5,40.0,7.74,
24031A0414,0.0,17.5,0.0,16.5,34.0,0.0,*
24031A0415,7.05,20.5,6.51,19.5,40.0,6.79,
24031A0416,8.41,20.5,8.23,19.5,40.0,8.32,
24031A0417,0.0,14.5,,,14.5,0.0,
24031A0418,7.29,20.5,6.9,19.5,40.0,7.1,
24031A0419,8.54,20.5,9.05,19.5,40.0,8.79,
24031A0420,7.88,20.5,8.18,19.5,40.0,8.03,
24031A0421,8.1,20.5,8.05,19.5,40.0,8.08,
24031A0422,7.51,20.5,7.62,19.5,40.0,7.56,*
24031A0423,0.0,14.5,0.0,16.5,31.0,0.0,*
24031A0424,0.0,7.0,,,7.0,0.0,
24031A0425,8.05,20.5,0.0,16.5,37.0,0.0,*
24031A0426,7.39,20.5,6.92,19.5,40.0,7.16,
24031A0427,6.93,20.5,6.82,19.5,40.0,6.88,*
24031A0428,6.93,20.5,0.0,16.5,37.0,0.0,
24031A0429,8.02,20.5,7.33,19.5,40.0,7.68,
24031A0430,6.37,20.5,0.0,16.5,37.0,0.0,*
24031A0431,0.0,17.5,7.03,19.5,37.0,0.0,*
24031A0432,7.71,20.5,8.21,19.5,40.0,7.95,
24031A0433,7.83,20.5,7.23,19.5,40.0,7.54,*
24031A0434,8.54,20.5,8.79,19.5,40.0,8.66,
24031A0435,6.44,20.5,0.0,16.5,37.0,0.0,*
24031A0436,0.0,11.5,0.0,10.5,22.0,0.0,*
24031A0437,7.37,20.5,6.62,19.5,40.0,7.0,*
24031A0438,9.22,20.5,9.18,19.5,40.0,9.2,
24031A0439,7.17,20.5,0.0,13.5,34.0,0.0,
24031A0440,6.98,20.5,6.62,19.5,40.0,6.8,
24031A0441,9.29,20.5,8.9,19.5,40.0,9.1,
24031A0442,7.05,20.5,7.18,19.5,40.0,7.11,
24031A0443,6.78,20.5,0.0,16.5,37.0,0.0,*
24031A0444,6.49,20.5,7.85,19.5,40.0,7.15,*
24031A0445,7.9,20.5,7.0,19.5,40.0,7.46,
24031A0446,8.22,20.5,8.64,19.5,40.0,8.42,
24031A0447,7.37,20.5,6.92,19.5,40.0,7.15,
24031A0448,6.85,20.5,8.21,19.5,40.0,7.51,
24031A0449,8.93,20.5,8.23,19.5,40.0,8.59,
24031A0450,6.66,20.5,7.49,19.5,40.0,7.06,*
24031A0451,6.61,20.5,0.0,16.5,37.0,0.0,*
24031A0452,6.54,20.5,0.0,13.5,34.0,0.0,*
24031A0453,7.68,20.5,7.08,19.5,40.0,7.39,*
24031A0454,8.0,20.5,8.26,19.5,40.0,8.13,
24031A0455,0.0,17.5,5.62,19.5,37.0,0.0,*
24031A0456,7.15,20.5,7.51,19.5,40.0,7.33,
24031A0457,8.8,20.5,8.0,19.5,40.0,8.41,
24031A0458,0.0,17.5,0.0,9.5,27.0,0.0,
24031A0459,7.29,20.5,7.26,19.5,40.0,7.28,
24031A0501,6.44,19.5,7.83,20.5,40.0,7.15,
24031A0502,6.62,19.5,6.9,20.5,40.0,6.76,*
24031A0503,0.0,15.5,6.61,20.5,36.0,0.0,*
24031A0504,7.77,19.5,0.0,17.5,37.0,0.0,
24031A0505,7.31,19.5,0.0,17.5,37.0,0.0,
24031A0506,6.33,19.5,0.0,17.5,37.0,0.0,*
24031A0507,7.41,19.5,7.73,20.5,40.0,7.57,*
24031A0508,7.46,19.5,7.95,20.5,40.0,7.71,
24031A0509,7.69,19.5,0.0,17.5,37.0,0.0,
24031A0510,7.87,19.5,7.41,20.5,40.0,7.63,
24031A0511,0.0,16.5,7.63,20.5,37.0,0.0,*
24031A0512,7.49,19.5,7.85,20.5,40.0,7.67,
24031A0513,8.33,19.5,8.71,20.5,40.0,8.52,
24031A0514,7.79,19.5,8.41,20.5,40.0,8.11,
24031A0515,8.49,19.5,9.22,20.5,40.0,8.86,
24031A0517,7.59,19.5,7.34,20.5,40.0,7.46,
24031A0518,7.97,19.5,8.29,20.5,40.0,8.13,
24031A0519,0.0,16.5,7.8,20.5,37.0,0.0,*
24031A0520,8.13,19.5,7.49,20.5,40.0,7.8,*
24031A0521,8.87,19.5,9.32,20.5,40.0,9.1,
24031A0522,7.36,19.5,7.8,20.5,40.0,7.59,
24031A0523,7.23,19.5,8.27,20.5,40.0,7.76,
24031A0524,0.0,16.5,0.0,15.5,32.0,0.0,
24031A0525,7.64,19.5,8.05,20.5,40.0,7.85,*
24031A0526,7.87,19.5,7.61,20.5,40.0,7.74,
24031A0527,0.0,16.5,,,16.5,0.0,
24031A0528,7.64,19.5,8.05,20.5,40.0,7.85,*
24031A0529,0.0,0.5,,,0.5,0.0,
24031A0530,0.0,0.5,,,0.5,0.0,
24031A0531,7.85,19.5,8.71,20.5,40.0,8.29,
24031A0534,7.79,19.5,0.0,17.5,37.0,0.0,*
24031A0535,8.0,19.5,8.68,20.5,40.0,8.35,
24031A0536,8.0,19.5,7.88,20.5,40.0,7.94,
24031A0537,7.28,19.5,8.07,20.5,40.0,7.68,
24031A0538,0.0,13.5,0.0,14.5,28.0,0.0,*
24031A0539,8.05,19.5,8.78,20.5,40.0,8.42,
24031A0540,8.05,19.5,8.63,20.5,40.0,8.35,
24031A0541,7.77,19.5,8.46,20.5,40.0,8.12,
24031A0542,7.77,19.5,8.0,20.5,40.0,7.89,*
24031A0543,0.0,10.5,0.0,5.5,16.0,0.0,*
24031A0544,8.36,19.5,8.76,20.5,40.0,8.56,
24031A0545,7.13,19.5,7.27,20.5,40.0,7.2,*
24031A0546,8.0,19.5,7.9,20.5,40.0,7.95,*
24031A0547,8.56,19.5,9.61,20.5,40.0,9.1,
24031A0548,6.77,19.5,0.0,14.5,34.0,0.0,*
24031A0549,9.05,19.5,9.1,20.5,40.0,9.08,
24031A0550,8.38,19.5,9.0,20.5,40.0,8.7,
24031A0551,6.97,19.5,8.0,20.5,40.0,7.5,
24031A0552,7.95,19.5,7.41,20.5,40.0,7.67,
24031A0553,7.23,19.5,8.2,20.5,40.0,7.73,
24031A0554,7.95,19.5,7.17,20.5,40.0,7.55,
