ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,3-2,Credits_3-2,4-1,Credits_4-1,4-2,Credits_4-2,Total Credits,CGPA,Supplementary Appearances
21031A0234,7.08,19.5,7.0,19.5,7.04,25.5,6.88,21.5,7.49,21.5,6.84,21.5,8.22,23.0,10.0,8.0,160.0,7.37,*
21031A0235,0.0,4.5,0.0,0.0,,,,,,,,,,,,,4.5,0.0,*
21031A0236,5.77,19.5,5.92,19.5,7.63,25.5,7.14,21.5,6.63,21.5,7.65,21.5,7.26,23.0,10.0,8.0,160.0,7.06,****
21031A0237,6.54,19.5,6.31,19.5,7.27,25.5,6.95,21.5,7.21,21.5,7.23,21.5,7.52,23.0,10.0,8.0,160.0,7.18,****
21031A0238,6.38,19.5,6.62,19.5,7.24,25.5,6.86,21.5,7.35,21.5,6.98,21.5,7.83,23.0,10.0,8.0,160.0,7.21,*****
21031A0239,7.31,19.5,7.92,19.5,8.51,25.5,7.44,21.5,8.4,21.5,7.35,21.5,7.71,24.0,10.0,8.0,161.0,7.94,
21031A0301,0.0,10.5,0.0,3.0,,,,,,,,,,,,,13.5,0.0,*
21031A0302,5.69,19.5,0.0,16.5,6.82,25.5,0.0,15.5,0.0,18.5,6.49,21.5,0.0,20.0,10.0,8.0,145.0,0.0,***************
21031A0303,6.69,19.5,7.38,19.5,7.63,25.5,8.19,21.5,7.81,21.5,7.49,21.5,7.65,23.0,10.0,8.0,160.0,7.69,*
21031A0304,6.08,19.5,7.31,19.5,7.75,25.5,8.05,21.5,7.19,21.5,7.81,21.5,8.57,23.0,10.0,8.0,160.0,7.7,
21031A0305,5.54,19.5,0.0,16.5,0.0,22.5,6.72,21.5,6.91,21.5,7.12,21.5,7.3,23.0,10.0,8.0,154.0,0.0,*********
21031A0306,5.85,19.5,6.15,19.5,7.0,25.5,6.93,21.5,6.74,21.5,7.56,21.5,7.26,23.0,10.0,8.0,160.0,6.97,****
21031A0307,0.0,16.5,0.0,16.5,7.29,25.5,8.19,21.5,7.63,21.5,7.63,21.5,7.65,23.0,10.0,8.0,154.0,0.0,********
21031A0308,6.15,19.5,6.54,19.5,8.12,25.5,7.79,21.5,7.63,21.5,7.47,21.5,7.91,23.0,10.0,8.0,160.0,7.55,**
21031A0309,6.54,19.5,0.0,16.5,7.41,25.5,6.81,21.5,7.0,21.5,6.95,21.5,7.65,23.0,10.0,8.0,157.0,0.0,**************
21031A0310,6.38,19.5,6.77,19.5,8.18,25.5,8.07,21.5,7.98,21.5,7.86,21.5,7.91,23.0,10.0,8.0,160.0,7.76,**
21031A0311,6.31,19.5,0.0,16.5,6.71,25.5,7.16,21.5,7.72,21.5,7.4,21.5,8.04,23.0,10.0,8.0,157.0,0.0,*********
21031A0312,0.0,10.5,6.46,19.5,0.0,16.5,0.0,0.0,,,,,,,,,46.5,0.0,****
21031A0313,7.08,19.5,6.46,19.5,7.8,25.5,7.16,21.5,7.07,21.5,6.98,21.5,7.91,23.0,10.0,8.0,160.0,7.38,*****
21031A0314,5.54,19.5,0.0,16.5,0.0,22.5,6.47,21.5,6.3,21.5,6.74,21.5,7.52,23.0,10.0,8.0,154.0,0.0,***************
21031A0315,0.0,16.5,6.15,19.5,6.98,25.5,6.86,21.5,7.02,21.5,7.4,21.5,7.39,23.0,10.0,8.0,157.0,0.0,*************
21031A0316,6.15,19.5,5.77,19.5,7.04,25.5,6.93,21.5,6.95,21.5,7.33,21.5,0.0,20.0,10.0,8.0,157.0,0.0,***************
21031A0317,0.0,16.5,0.0,16.5,6.98,25.5,6.12,21.5,6.6,21.5,6.47,21.5,7.65,23.0,10.0,8.0,154.0,0.0,******************
21031A0318,5.85,19.5,6.54,19.5,7.18,25.5,7.23,21.5,7.0,21.5,7.81,21.5,7.83,23.0,10.0,8.0,160.0,7.24,***
21031A0319,0.0,16.5,0.0,16.5,7.0,25.5,7.02,21.5,6.98,21.5,7.09,21.5,7.17,23.0,10.0,8.0,154.0,0.0,**************
21031A0320,6.0,19.5,0.0,13.5,0.0,19.5,0.0,15.5,0.0,18.5,0.0,18.5,6.61,23.0,10.0,8.0,136.0,0.0,************
21031A0321,0.0,10.5,0.0,13.5,0.0,22.5,0.0,15.5,0.0,18.5,6.4,21.5,7.39,23.0,10.0,8.0,133.0,0.0,*************
21031A0322,6.15,19.5,5.92,19.5,7.24,25.5,6.77,21.5,7.02,21.5,7.33,21.5,8.04,23.0,10.0,8.0,160.0,7.12,*****
21031A0323,8.08,19.5,8.69,19.5,8.59,25.5,9.3,21.5,9.09,21.5,9.02,21.5,8.96,23.0,10.0,8.0,160.0,8.88,
21031A0324,6.0,19.5,0.0,16.5,7.27,25.5,0.0,18.5,6.88,21.5,7.12,21.5,6.87,23.0,10.0,8.0,154.0,0.0,***************
21031A0325,0.0,13.5,0.0,16.5,0.0,22.5,0.0,12.5,6.74,21.5,6.07,21.5,0.0,20.0,10.0,8.0,136.0,0.0,*********************
21031A0326,6.46,19.5,0.0,10.5,0.0,22.5,0.0,18.5,7.02,21.5,0.0,18.5,7.26,23.0,10.0,8.0,142.0,0.0,*************
21031A0327,7.62,19.5,7.23,19.5,7.88,25.5,7.95,21.5,7.77,21.5,7.6,21.5,8.04,23.0,10.0,8.0,160.0,7.86,
21031A0328,7.23,19.5,7.23,19.5,7.59,25.5,7.84,21.5,6.81,21.5,6.88,21.5,6.74,23.0,10.0,8.0,160.0,7.33,**
21031A0329,7.38,19.5,7.69,19.5,8.0,25.5,8.26,21.5,7.67,21.5,7.7,21.5,8.3,23.0,10.0,8.0,160.0,7.98,*
21031A0330,5.85,19.5,0.0,16.5,0.0,22.5,6.84,21.5,6.84,21.5,6.95,21.5,8.04,23.0,10.0,8.0,154.0,0.0,*****************
21031A0401,6.0,19.5,6.15,19.5,0.0,19.5,0.0,18.5,0.0,18.5,0.0,15.5,6.39,23.0,10.0,8.0,142.0,0.0,******************
21031A0402,0.0,16.5,6.15,19.5,6.94,25.5,6.05,21.5,7.0,21.5,0.0,18.5,6.13,23.0,10.0,8.0,154.0,0.0,**************
21031A0403,7.08,19.5,6.77,19.5,7.16,25.5,6.49,21.5,7.81,21.5,7.49,21.5,6.74,23.0,10.0,8.0,160.0,7.23,***
21031A0404,7.0,19.5,7.08,19.5,7.75,25.5,7.21,21.5,7.77,21.5,8.4,21.5,7.65,23.0,10.0,8.0,160.0,7.69,
21031A0405,6.08,19.5,6.23,19.5,0.0,22.5,6.12,21.5,6.7,21.5,6.21,21.5,6.39,23.0,10.0,8.0,157.0,0.0,**********
21031A0406,6.0,19.5,6.23,19.5,6.65,25.5,6.26,21.5,7.09,21.5,6.49,21.5,6.26,23.0,10.0,8.0,160.0,6.62,**********
21031A0407,7.38,19.5,7.85,19.5,7.98,25.5,6.88,21.5,8.16,21.5,8.05,21.5,7.04,23.0,10.0,8.0,160.0,7.74,**
21031A0408,6.69,19.5,7.38,19.5,7.8,25.5,6.58,21.5,6.98,21.5,6.56,21.5,6.39,23.0,10.0,8.0,160.0,7.08,**
21031A0409,7.31,19.5,6.92,19.5,7.67,25.5,7.44,21.5,7.53,21.5,7.14,21.5,6.87,23.0,10.0,8.0,160.0,7.42,***
21031A0410,8.15,19.5,7.92,19.5,8.59,25.5,8.7,21.5,8.12,21.5,8.47,21.5,7.65,23.0,10.0,8.0,160.0,8.33,
21031A0411,6.31,19.5,6.69,19.5,6.96,25.5,5.98,21.5,7.14,21.5,6.42,21.5,6.52,23.0,10.0,8.0,160.0,6.76,******
21031A0412,7.0,19.5,7.46,19.5,8.51,25.5,7.23,21.5,7.35,21.5,7.77,21.5,7.13,23.0,10.0,8.0,160.0,7.65,***
21031A0413,6.08,19.5,6.15,19.5,7.06,25.5,6.58,21.5,6.7,21.5,6.21,21.5,6.39,23.0,10.0,8.0,160.0,6.65,*********
21031A0414,6.92,19.5,6.69,19.5,7.18,25.5,6.63,21.5,7.4,21.5,6.72,21.5,0.0,20.0,10.0,8.0,157.0,0.0,******
21031A0415,0.0,10.5,0.0,9.0,,,,,,,,,,,,,19.5,0.0,*
21031A0416,6.62,19.5,7.0,19.5,7.1,25.5,6.84,21.5,7.98,21.5,7.49,21.5,7.17,23.0,10.0,8.0,160.0,7.32,***
21031A0417,7.08,19.5,7.31,19.5,8.22,25.5,7.33,21.5,8.19,21.5,8.4,21.5,7.65,23.0,10.0,8.0,160.0,7.88,*
21031A0418,6.38,19.5,6.15,19.5,6.61,25.5,5.77,21.5,6.63,21.5,6.23,21.5,6.09,23.0,10.0,8.0,160.0,6.46,******************
21031A0419,5.92,19.5,6.38,19.5,6.47,25.5,6.81,21.5,6.53,21.5,7.4,21.5,6.65,23.0,10.0,8.0,160.0,6.77,*********
21031A0420,7.38,19.5,7.23,19.5,6.22,25.5,6.05,21.5,7.33,21.5,6.44,21.5,6.91,23.0,10.0,8.0,160.0,6.93,*
21031A0421,7.23,19.5,7.0,19.5,7.8,25.5,7.47,21.5,7.42,21.5,7.98,21.5,7.65,23.0,10.0,8.0,160.0,7.65,
21031A0422,6.23,19.5,6.38,19.5,6.84,25.5,6.88,21.5,7.33,21.5,7.35,21.5,6.87,23.0,10.0,8.0,160.0,7.01,****
21031A0423,8.31,19.5,9.08,19.5,9.25,25.5,8.79,21.5,8.4,21.5,9.44,21.5,8.3,23.0,10.0,8.0,160.0,8.87,
21031A0424,7.15,19.5,6.54,19.5,7.2,25.5,6.65,21.5,6.7,21.5,6.98,21.5,6.74,23.0,10.0,8.0,160.0,7.02,**
21031A0425,6.46,19.5,6.38,19.5,6.55,25.5,5.56,21.5,6.56,21.5,6.35,21.5,5.74,23.0,10.0,8.0,160.0,6.42,***
21031A0426,7.31,19.5,6.85,19.5,7.57,25.5,7.02,21.5,7.4,21.5,6.79,21.5,6.87,23.0,10.0,8.0,160.0,7.27,*
21031A0427,7.92,19.5,7.77,19.5,8.14,25.5,8.3,21.5,8.44,21.5,8.12,21.5,7.52,23.0,10.0,8.0,160.0,8.13,
21031A0428,0.0,13.5,0.0,16.5,0.0,19.5,5.93,21.5,6.49,21.5,0.0,18.5,6.61,23.0,10.0,8.0,142.0,0.0,**************
21031A0429,7.23,19.5,7.31,19.5,7.67,25.5,6.77,21.5,7.47,21.5,7.42,21.5,6.91,23.0,10.0,8.0,160.0,7.4,***
21031A0430,7.23,19.5,7.23,19.5,8.06,25.5,6.93,21.5,7.53,21.5,7.12,21.5,7.13,23.0,10.0,8.0,160.0,7.47,*
21031A0431,5.92,19.5,6.77,19.5,6.41,25.5,5.91,21.5,6.28,21.5,0.0,12.5,0.0,20.0,10.0,8.0,148.0,0.0,*************
21031A0432,0.0,7.5,0.0,7.5,,,,,,,,,,,,,15.0,0.0,*
21031A0433,5.92,19.5,0.0,13.5,0.0,19.5,0.0,15.5,6.35,21.5,0.0,9.5,0.0,20.0,9.0,8.0,127.0,0.0,***********
21031A0434,6.0,19.5,6.38,19.5,0.0,22.5,6.47,21.5,6.84,21.5,7.07,21.5,6.52,23.0,10.0,8.0,157.0,0.0,*******
21031A0435,7.0,19.5,7.38,19.5,7.9,25.5,7.98,21.5,8.65,21.5,8.33,21.5,7.52,23.0,10.0,8.0,160.0,7.95,
21031A0436,6.77,19.5,7.69,19.5,8.12,25.5,7.79,21.5,8.74,21.5,8.81,21.5,8.04,23.0,10.0,8.0,160.0,8.12,
21031A0437,7.31,19.5,7.62,19.5,8.45,25.5,8.02,21.5,8.53,21.5,8.53,21.5,8.04,23.0,10.0,8.0,160.0,8.19,**
