ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
23031A0528,0.0,16.5,,,,,16.5,0.0,
23031A0529,8.74,19.5,8.34,20.5,7.28,20.0,60.0,8.12,
23031A0530,8.77,19.5,8.68,20.5,8.8,20.0,60.0,8.75,
23031A0531,8.62,19.5,8.59,20.5,7.95,20.0,60.0,8.39,
23031A0532,8.92,19.5,8.56,20.5,8.28,20.0,60.0,8.58,
23031A0533,7.38,19.5,6.44,20.5,0.0,17.0,57.0,0.0,*
23031A0534,8.1,19.5,8.34,20.5,8.1,20.0,60.0,8.18,
23031A0535,7.08,19.5,6.83,20.5,6.58,20.0,60.0,6.83,
23031A0536,7.05,19.5,6.51,20.5,0.0,17.0,57.0,0.0,*
23031A0537,8.67,19.5,9.2,20.5,7.5,20.0,60.0,8.46,
23031A0538,8.05,19.5,8.41,20.5,8.48,20.0,60.0,8.32,
23031A0539,7.54,19.5,8.12,20.5,7.18,20.0,60.0,7.62,
23031A0540,7.72,19.5,7.02,20.5,0.0,17.0,57.0,0.0,*
23031A0541,8.82,19.5,8.68,20.5,7.9,20.0,60.0,8.47,
23031A0542,6.77,19.5,,,,,19.5,,
23031A0543,8.95,19.5,8.12,20.5,7.85,20.0,60.0,8.3,
23031A0544,8.41,19.5,8.05,20.5,7.02,20.0,60.0,7.82,
23031A0545,8.0,19.5,7.95,20.5,7.78,20.0,60.0,7.91,
23031A0546,8.28,19.5,8.54,20.5,7.88,20.0,60.0,8.24,*
23031A0547,7.1,19.5,6.83,20.5,6.72,20.0,60.0,6.88,*
23031A0548,9.26,19.5,8.39,20.5,8.4,20.0,60.0,8.68,
23031A0549,8.36,19.5,8.56,20.5,8.52,20.0,60.0,8.48,
23031A0550,7.49,19.5,7.46,20.5,0.0,17.0,57.0,0.0,**
23031A0551,6.87,19.5,7.17,20.5,7.4,20.0,60.0,7.15,
23031A0552,7.31,19.5,7.02,20.5,6.55,20.0,60.0,6.96,
23031A0553,9.26,19.5,8.59,20.5,8.8,20.0,60.0,8.88,
23031A0554,7.72,19.5,7.73,20.5,6.9,20.0,60.0,7.45,
24035A0101,,,,,6.98,20.0,20.0,6.98,
24035A0102,,,,,7.28,20.0,20.0,7.28,
24035A0103,,,,,7.42,20.0,20.0,7.42,
24035A0104,,,,,8.95,20.0,20.0,8.95,
24035A0105,,,,,8.25,20.0,20.0,8.25,
24035A0106,,,,,7.72,20.0,20.0,7.72,
24035A0107,,,,,7.88,20.0,20.0,7.88,
24035A0108,,,,,8.25,20.0,20.0,8.25,
24035A0109,,,,,7.2,20.0,20.0,7.2,
24035A0110,,,,,7.95,20.0,20.0,7.95,
24035A0111,,,,,7.98,20.0,20.0,7.98,
24035A0112,,,,,6.98,20.0,20.0,6.98,
24035A0113,,,,,7.58,20.0,20.0,7.58,
24035A0114,,,,,6.82,20.0,20.0,6.82,
24035A0115,,,,,7.58,20.0,20.0,7.58,
24035A0116,,,,,7.58,20.0,20.0,7.58,
24035A0117,,,,,8.18,20.0,20.0,8.18,
24035A0118,,,,,0.0,14.0,14.0,0.0,
24035A0119,,,,,7.72,20.0,20.0,7.72,
24035A0120,,,,,7.42,20.0,20.0,7.42,
24035A0122,,,,,7.8,20.0,20.0,7.8,
24035A0123,,,,,6.38,20.0,20.0,6.38,
24035A0124,,,,,6.68,20.0,20.0,6.68,
24035A0125,,,,,7.35,20.0,20.0,7.35,
24035A0126,,,,,7.2,20.0,20.0,7.2,
24035A0127,,,,,8.8,20.0,20.0,8.8,
24035A0128,,,,,7.42,20.0,20.0,7.42,
24035A0129,,,,,8.95,20.0,20.0,8.95,
24035A0131,,,,,7.08,20.0,20.0,7.08,
24035A0132,,,,,7.98,20.0,20.0,7.98,
24035A0133,,,,,6.42,20.0,20.0,6.42,
24035A0134,,,,,7.88,20.0,20.0,7.88,
24035A0135,,,,,7.58,20.0,20.0,7.58,
24035A0137,,,,,0.0,17.0,17.0,0.0,
24035A0201,,,,,7.98,20.0,20.0,7.98,
24035A0202,,,,,6.3,20.0,20.0,6.3,
24035A0203,,,,,0.0,17.0,17.0,0.0,
24035A0204,,,,,7.52,20.0,20.0,7.52,
24035A0205,,,,,6.62,20.0,20.0,6.62,
24035A0206,,,,,0.0,17.0,17.0,0.0,
24035A0207,,,,,7.9,20.0,20.0,7.9,
24035A0208,,,,,6.85,20.0,20.0,6.85,
24035A0209,,,,,6.92,20.0,20.0,6.92,
24035A0210,,,,,7.75,20.0,20.0,7.75,
24035A0211,,,,,0.0,0.0,0.0,0.0,
24035A0212,,,,,7.2,20.0,20.0,7.2,
24035A0213,,,,,6.75,20.0,20.0,6.75,
24035A0214,,,,,6.52,20.0,20.0,6.52,
24035A0215,,,,,6.82,20.0,20.0,6.82,
